,uniq.Subject,QueryID,n,mean.Perc.Ident,sd.Perc.Ident,uniq.Subject.Type,genus,notes
48,Udeniomyces_pyricola|AF444402|SH1560792.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Udeniomyces;s__Udeniomyces_pyricola,ASV1004,1,100,NA,Fungi,NA,
49,Aureobasidium_namibiae|KT693730|SH2149997.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_namibiae,ASV1005,1,99.091,NA,Fungi,NA,
50,Sampaiozyma_ingeniosa|KJ706344|SH1650848.08FU|reps|k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryomycetes_ord_Incertae_sedis;f__Chrysozymaceae;g__Sampaiozyma;s__Sampaiozyma_ingeniosa,ASV1006,1,99.468,NA,Fungi,NA,
51,Alfaria_ossiformis|KU845984|SH1557967.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Alfaria;s__Alfaria_ossiformis,ASV1009,1,99.487,NA,Fungi,NA,
52,Hannaella_sinensis|AF444468|SH1522794.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_sinensis,ASV101,1,97.842,NA,Fungi,NA,
53,Polyporales_sp|GU721227|SH1656479.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__unidentified;g__unidentified;s__Polyporales_sp,ASV1458,1,100,NA,Fungi,NA,
54,Mycosphaerella_ellipsoidea|AY725545|SH2337128.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_ellipsoidea----Septoria_glycinicola|KF251430|SH1975043.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria;s__Septoria_glycinicola----Mycosphaerellaceae_sp|AY303969|SH1577524.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unidentified;s__Mycosphaerellaceae_sp----Septoria_epilobii|KF251412|SH1558100.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria;s__Septoria_epilobii,ASV1011,4,90.67275,0.647221433,Fungi,NA,
55,Colletotrichum_navitas|JQ005769|SH1543742.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_navitas,ASV1012,1,97.738,NA,Fungi,NA,
56,AY129726.1----AY129727.1----AY129728.1,ASV1013,3,95.868,0,Plant,Panicum,
57,Mycosphaerella_sp|KX908312|SH1521456.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_sp,ASV1014,1,98.936,NA,Fungi,NA,
58,Fungi_sp|FN428908|SH1522792.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,ASV1017,1,98.113,NA,Fungi,NA,
59,Myrmecridium_schulzeri|KU574706|SH1539592.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales;f__Myrmecridiaceae;g__Myrmecridium;s__Myrmecridium_schulzeri,ASV1018,1,95.261,NA,Fungi,NA,
60,Saitozyma_sp|JX317879|SH1565601.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_sp----Saitozyma_sp|HQ832800|SH1565608.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_sp,ASV1019,2,98.582,0,Fungi,NA,
61,Ascomycota_sp|KM434271|SH1525104.08FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp,ASV102,1,98.5,NA,Fungi,NA,
62,Zasmidium_angulare|JQ622088|SH1922877.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Zasmidium;s__Zasmidium_angulare,ASV1020,1,99.454,NA,Fungi,NA,
63,Peniophora_nuda|KT823791|SH1646404.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__Peniophora_nuda,ASV1021,1,98.298,NA,Fungi,NA,
64,Ramularia_nyssicola|HQ162266|SH1577457.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_nyssicola,ASV1022,1,99.359,NA,Fungi,NA,
65,Pleosporales_sp|KM246160|SH1520732.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp,ASV1479,1,97.191,NA,Fungi,NA,
66,Perusta_inaequalis|AY843116|SH1515062.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Perusta;s__Perusta_inaequalis,ASV1025,1,100,NA,Fungi,NA,
67,Taphrina_carpini|AY239215|SH1519934.08FU|refs|k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_carpini,ASV1026,1,98.122,NA,Fungi,NA,
68,Taphrina_mirabilis|AF492088|SH1519935.08FU|reps|k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_mirabilis,ASV1027,1,99.074,NA,Fungi,NA,
69,Pestalotiopsis_jesteri|AF377282|SH1563690.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Pestalotiopsis;s__Pestalotiopsis_jesteri,ASV1028,1,94.262,NA,Fungi,NA,
70,Tremellales_sp|KT318490|SH1576896.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__Tremellales_sp,ASV1029,1,95.513,NA,Fungi,NA,
71,Pseudeurotiaceae_sp|JF495199|SH1647619.08FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__unidentified;s__Pseudeurotiaceae_sp,ASV1030,1,100,NA,Fungi,NA,
72,Pseudocercospora_lonicericola|GU269736|SH2337137.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Pseudocercospora;s__Pseudocercospora_lonicericola----Pseudocercospora_stephanandrae|GU269814|SH2337136.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Pseudocercospora;s__Pseudocercospora_stephanandrae----Mycosphaerella_ellipsoidea|AY725545|SH2337128.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_ellipsoidea----Septoria_glycinicola|KF251430|SH1975043.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria;s__Septoria_glycinicola----Mycosphaerellaceae_sp|AY303969|SH1577524.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unidentified;s__Mycosphaerellaceae_sp----Septoria_epilobii|KF251412|SH1558100.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria;s__Septoria_epilobii,ASV1032,6,90.11166667,0.496108725,Fungi,NA,
73,Sampaiozyma_ingeniosa|AF444534|SH2108419.08FU|refs|k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryomycetes_ord_Incertae_sedis;f__Chrysozymaceae;g__Sampaiozyma;s__Sampaiozyma_ingeniosa,ASV1033,1,100,NA,Fungi,NA,
74,Trichomeriaceae_sp|KX348466|SH1597936.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__unidentified;s__Trichomeriaceae_sp,ASV1034,1,92.727,NA,Fungi,NA,
75,Ustilaginaceae_sp|AM160638|SH1509863.08FU|reps|k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__unidentified;s__Ustilaginaceae_sp,ASV1035,1,97.786,NA,Fungi,NA,
76,Periconia_homothallica|KY364630|SH1573195.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia;s__Periconia_homothallica,ASV1036,1,100,NA,Fungi,NA,
77,Buckleyzyma_aurantiaca|AF444538|SH1613467.08FU|refs|k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Buckleyzymaceae;g__Buckleyzyma;s__Buckleyzyma_aurantiaca,ASV1037,1,100,NA,Fungi,NA,
78,Nigrospora_oryzae|DQ219433|SH1549606.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora;s__Nigrospora_oryzae,ASV1038,1,96.279,NA,Fungi,NA,
79,Pleosporales_sp|HM999913|SH1546733.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp,ASV1039,1,95.361,NA,Fungi,NA,
80,Ascomycota_sp|MH290364|SH1547058.08FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp,ASV104,1,95.025,NA,Fungi,NA,
81,Ramularia_pratensis|KC867794|SH1577475.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_pratensis,ASV1040,1,96.335,NA,Fungi,NA,
82,Setophoma_chromolaenae|KM246191|SH1546729.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophoma;s__Setophoma_chromolaenae,ASV1042,1,97.235,NA,Fungi,NA,
83,Fungi_sp|MH019936|SH1523077.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,ASV1044,1,100,NA,Fungi,NA,
84,Nectriaceae_sp|KX515816|SH1648581.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__unidentified;s__Nectriaceae_sp----Stachybotryaceae_sp|KX515901|SH1561004.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__unidentified;s__Stachybotryaceae_sp,ASV1045,2,99.485,0,Fungi,NA,
85,Teratosphaeriaceae_sp|KT581880|SH1521446.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unidentified;s__Teratosphaeriaceae_sp,ASV1046,1,95.714,NA,Fungi,NA,
86,Setophoma_sp|JQ809679|SH1546727.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophoma;s__Setophoma_sp,ASV1049,1,93.793,NA,Fungi,NA,
87,Tilletiopsis_washingtonensis|AB025686|SH1541583.08FU|refs|k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Entylomatales;f__Entylomatales_fam_Incertae_sedis;g__Tilletiopsis;s__Tilletiopsis_washingtonensis,ASV105,1,97.235,NA,Fungi,NA,
88,Trichomerium_dioscoreae|KP004468|SH1597914.08FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Trichomerium;s__Trichomerium_dioscoreae,ASV1050,1,92.419,NA,Fungi,NA,
89,Setophaeosphaeria_badalingensis|HQ649995|SH1614499.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophaeosphaeria;s__Setophaeosphaeria_badalingensis,ASV1051,1,99.32,NA,Fungi,NA,
90,Setomelanomma_holmii|KX844983|SH1616189.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setomelanomma;s__Setomelanomma_holmii,ASV1052,1,91.284,NA,Fungi,NA,
91,MF780725.1----MF780726.1,ASV1053,2,95.577,0.661851947,Plant,Zea,
92,Ochroconis_cordanae|KF156022|SH1551238.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Ochroconis;s__Ochroconis_cordanae,ASV1054,1,99.257,NA,Fungi,NA,
93,Didymocyrtis_cladoniicola|KX516501|SH1646329.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Didymocyrtis;s__Didymocyrtis_cladoniicola,ASV1055,1,93.243,NA,Fungi,NA,
94,Stagonospora_sp|EU009968|SH1646334.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Stagonospora;s__Stagonospora_sp,ASV1056,1,97.222,NA,Fungi,NA,
95,Dothideomycetes_sp|KX096684|SH1643344.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__Dothideomycetes_sp,ASV1057,1,97.942,NA,Fungi,NA,
96,Psathyrella_stercoraria|DQ389669|SH1508509.08FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella;s__Psathyrella_stercoraria,ASV1058,1,96.815,NA,Fungi,NA,
97,Stemphylium_sp|DQ491516|SH2179673.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium;s__Stemphylium_sp,ASV1059,1,98.529,NA,Fungi,NA,
98,Hannaella_oryzae|JQ754042|SH1522796.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_oryzae,ASV106,1,97.633,NA,Fungi,NA,
99,Peniophora_laxitexta|KR093906|SH1646405.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__Peniophora_laxitexta,ASV1060,1,100,NA,Fungi,NA,
100,Stereum_hirsutum|KR135365|SH1576004.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Stereaceae;g__Stereum;s__Stereum_hirsutum,ASV1061,1,100,NA,Fungi,NA,
101,Pseudorobillarda_sp|KF800655|SH1558908.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pseudorobillarda;s__Pseudorobillarda_sp,ASV1063,1,95.708,NA,Fungi,NA,
102,Diaporthe_longicolla|KJ590728|SH1704085.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Diaporthe;s__Diaporthe_longicolla,ASV1064,1,100,NA,Fungi,NA,
103,Hannaella_coprosmae|AF314985|SH1522800.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_coprosmae,ASV1065,1,99.333,NA,Fungi,NA,
104,Agaricomycetes_sp|MH062983|SH1573566.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__Agaricomycetes_sp,ASV1066,1,100,NA,Fungi,NA,
105,Entyloma_polysporum|AY081046|SH1516878.08FU|reps|k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Entylomatales;f__Entylomataceae;g__Entyloma;s__Entyloma_polysporum,ASV1067,1,99.034,NA,Fungi,NA,
106,Dissoconium_aciculare|AF173308|SH1718969.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Dissoconium;s__Dissoconium_aciculare,ASV107,1,97.297,NA,Fungi,NA,
107,Ramichloridium_sp|KP968460|SH1552282.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Ramichloridium;s__Ramichloridium_sp,ASV1536,1,96.923,NA,Fungi,NA,
108,Fungi_sp|MH019936|SH1523077.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,ASV1071,1,100,NA,Fungi,NA,
109,Pseudoteratosphaeria_ohnowa|AF309604|SH1571460.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Pseudoteratosphaeria;s__Pseudoteratosphaeria_ohnowa,ASV1072,1,90.909,NA,Fungi,NA,
110,AY129726.1----AY129727.1----AY129728.1,ASV1073,3,96.364,0,Plant,Panicum,
111,Zygophiala_inaequalis|KF646709|SH1719086.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Schizothyriaceae;g__Zygophiala;s__Zygophiala_inaequalis,ASV1074,1,95.37,NA,Fungi,NA,
112,Teratosphaeriaceae_sp|KT833163|SH1570277.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unidentified;s__Teratosphaeriaceae_sp,ASV1075,1,99.024,NA,Fungi,NA,
113,Chaetothyriales_sp|AJ877178|SH1564886.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified;s__Chaetothyriales_sp,ASV1076,1,98.239,NA,Fungi,NA,
114,Phyllozyma_linderae|AF444582|SH1560884.08FU|refs|k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes;o__Spiculogloeales;f__Spiculogloeaceae;g__Phyllozyma;s__Phyllozyma_linderae,ASV1545,1,99.387,NA,Fungi,NA,
115,Didymocyrtis_cladoniicola|KX516501|SH1646329.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Didymocyrtis;s__Didymocyrtis_cladoniicola,ASV1079,1,92.035,NA,Fungi,NA,
116,Phaeosphaeriaceae_sp|KX263845|SH1646332.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unidentified;s__Phaeosphaeriaceae_sp,ASV108,1,96.97,NA,Fungi,NA,
117,Neocatenulostroma_sp|KX908448|SH1571461.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Neocatenulostroma;s__Neocatenulostroma_sp,ASV1083,1,100,NA,Fungi,NA,
118,Trichomerium_foliicola|JX313651|SH1597909.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Trichomerium;s__Trichomerium_foliicola,ASV1084,1,90.785,NA,Fungi,NA,
119,Hypocreales_sp|KX499255|SH1563661.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified;s__Hypocreales_sp,ASV1086,1,86.294,NA,Fungi,NA,
120,Mrakiella_aquatica|AF410469|SH1556068.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiales_fam_Incertae_sedis;g__Mrakiella;s__Mrakiella_aquatica,ASV1088,1,99.111,NA,Fungi,NA,
121,Mycosphaerella_flageoletiana|JF449741|SH1645412.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_flageoletiana,ASV1089,1,89.401,NA,Fungi,NA,
122,Hannaella_oryzae|AF314986|SH1522793.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_oryzae,ASV109,1,97.987,NA,Fungi,NA,
123,Pleosporales_sp|GQ153252|SH1614486.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp,ASV1091,1,90.865,NA,Fungi,NA,
124,Filobasidium_wieringae|AF444373|SH1631613.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae,ASV1092,1,99.387,NA,Fungi,NA,
125,Filobasidium_floriforme|AF190007|SH2525150.08FU|refs_singleton|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_floriforme,ASV1093,1,98.958,NA,Fungi,NA,
126,Taphrina_confusa|AF492090|SH1519962.08FU|reps|k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_confusa,ASV1094,1,99.535,NA,Fungi,NA,
127,Apenidiella_strumelloidea|EU019277|SH1683840.08FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Apenidiella;s__Apenidiella_strumelloidea,ASV1095,1,96.791,NA,Fungi,NA,
128,Trichomeriaceae_sp|KP174851|SH1597911.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__unidentified;s__Trichomeriaceae_sp,ASV1096,1,96.786,NA,Fungi,NA,
129,Papiliotrema_fuscus|KY962980|SH1650813.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_fuscus,ASV1097,1,95.858,NA,Fungi,NA,
130,Cyphellophora_vermispora|GU225947|SH1826275.08FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Cyphellophoraceae;g__Cyphellophora;s__Cyphellophora_vermispora,ASV1098,1,97.009,NA,Fungi,NA,
131,AY129726.1----AY129727.1----AY129728.1,ASV11,3,100,0,Plant,Panicum,
132,Mycosphaerellaceae_sp|DQ302976|SH1591993.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unidentified;s__Mycosphaerellaceae_sp,ASV110,1,91.444,NA,Fungi,NA,
