"","unique.plot","leaf.type","site","species","Site.Sample.Order","Field.Location","full.id","site.rep","OVT.Variety","variety.rep","OVT.Var.Entry","plot.rep","OVT.plot","Lat.N","Lon.W","plantHt","temp","humid","leaftemp.diff","soilmoist","NPQt","Phi2","PhiNO","PhiNPQ","PAR","Chla","leafthick","Yield","Test.Weight","Ear.Height","Soil.Type","Soil.Texture","Sample_Date","Elev","Precip_90day","LT_90day","HT_90day","MAP","MLT","MHT","LAI.ratio.type","LAI.mean","LAI.sd","LAI.reps","LAI.CV","Notes","Variety","nestSite","nestBlock","nestSiteVar","nestSppSiteVar","Sdiv","Hdiv","Pdiv","CEC","P.soil","K.soil","Ca.soil","Mg.soil","Mn.soil","Zn.soil","Cu.soil","HM_perc","HM_perc_CV","pH"
"17",29,"flag","PASVT","WHT",5,"right4, up8","29-PASVT-WHT-V2-P2",3,"NC11363-25",2,13,2,237,36.32277,-76.33779,58.8,34.66,39.42,-2.53,11.93,1.71,0.29,0.28,0.42,1403.78,20.06,NA,NA,NA,NA,NA,NA,"5/10/2019",5,330.07,-5.5,30.8,1228.22,9.9,21.5,"no external sensor",4.462666258,0.804752339,4,18.03299401,"no harvest due to weed pressure; Heavy weed pressure, site not harvested","NC11363-25","WHT-PASVT","WHT-PASVT-2","PASVT-NC11363-25","WHT-PASVT-NC11363-25",37,2.169165061,0.600724002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",30,"flag","PASVT","WHT",6,"right8, up8","30-PASVT-WHT-V3-P2",3,"NC14-22588",3,15,2,233,36.32277,-76.33788,57.5,34.75,40.51,-2.14,11.6,2.75,0.2,0.22,0.58,2455.62,28.46,NA,NA,NA,NA,NA,NA,"5/10/2019",5,330.07,-5.5,30.8,1228.22,9.9,21.5,"no external sensor",3.00586689,0.819115157,4,27.25054658,"no harvest due to weed pressure; Heavy weed pressure, site not harvested","NC14-22588","WHT-PASVT","WHT-PASVT-2","PASVT-NC14-22588","WHT-PASVT-NC14-22588",23,1.835309668,0.585333457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",31,"flag","PASVT","WHT",7,"right2, up9","31-PASVT-WHT-V2-P3",3,"NC11363-25",2,13,3,302,36.3227,-76.33774,60.3,34.5,38.48,-3.27,11.12,1.85,0.37,0.22,0.4,1092.53,29.81,NA,NA,NA,NA,NA,NA,"5/10/2019",5,330.07,-5.5,30.8,1228.22,9.9,21.5,"no external sensor",4.098043901,1.133665613,4,27.66357904,"no harvest due to weed pressure; Heavy weed pressure, site not harvested","NC11363-25","WHT-PASVT","WHT-PASVT-3","PASVT-NC11363-25","WHT-PASVT-NC11363-25",26,2.120993647,0.650991652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",32,"flag","PASVT","WHT",8,"right5, up9","32-PASVT-WHT-V1-P3",3,"Hilliard",1,12,3,305,36.32269,-76.33781,66.8,34.64,40.11,-2.4,11.35,0.86,0.24,0.42,0.34,1401.83,33.45,NA,NA,NA,NA,NA,NA,"5/10/2019",5,330.07,-5.5,30.8,1228.22,9.9,21.5,"no external sensor",4.348084757,1.064168191,4,24.4744123,"no harvest due to weed pressure; Heavy weed pressure, site not harvested","Hilliard","WHT-PASVT","WHT-PASVT-3","PASVT-Hilliard","WHT-PASVT-Hilliard",22,1.90051775,0.614846861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",33,"flag","PASVT","WHT",9,"right5, up10","33-PASVT-WHT-V3-P3",3,"NC14-22588",3,15,3,316,36.32261,-76.3378,60.5,35.25,42.36,-1.96,12.55,1.54,0.22,0.33,0.45,2132.05,39.48,NA,NA,NA,NA,NA,NA,"5/10/2019",5,330.07,-5.5,30.8,1228.22,9.9,21.5,"no external sensor",5.668799064,0.684410997,4,12.07329788,"no harvest due to weed pressure; Heavy weed pressure, site not harvested","NC14-22588","WHT-PASVT","WHT-PASVT-3","PASVT-NC14-22588","WHT-PASVT-NC14-22588",26,1.913562668,0.587325343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",34,"flag","PASVT","WHT",10,"right2, up14","34-PASVT-WHT-V2-P4",3,"NC11363-25",2,13,4,419,36.32229,-76.3377,53,36.56,36.6,-2.87,12.77,0.9,0.27,0.41,0.32,1637.61,35.48,NA,NA,NA,NA,NA,NA,"5/10/2019",5,330.07,-5.5,30.8,1228.22,9.9,21.5,"no external sensor",4.235005985,0.232649847,4,5.493495106,"no harvest due to weed pressure; Heavy weed pressure, site not harvested","NC11363-25","WHT-PASVT","WHT-PASVT-4","PASVT-NC11363-25","WHT-PASVT-NC11363-25",27,2.157332889,0.654563007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",35,"flag","PASVT","WHT",11,"right5, up14","35-PASVT-WHT-V3-P4",3,"NC14-22588",3,15,4,416,36.32228,-76.33777,56.3,37.32,35.55,-2.69,11.9,1.83,0.19,0.34,0.47,2095.17,37.73,NA,NA,NA,NA,NA,NA,"5/10/2019",5,330.07,-5.5,30.8,1228.22,9.9,21.5,"no external sensor",4.551562432,0.871568153,4,19.1487685,"no harvest due to weed pressure; Heavy weed pressure, site not harvested","NC14-22588","WHT-PASVT","WHT-PASVT-4","PASVT-NC14-22588","WHT-PASVT-NC14-22588",21,1.879118283,0.617212821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",36,"flag","PASVT","WHT",12,"right7, up15","36-PASVT-WHT-V1-P4",3,"Hilliard",1,12,4,427,36.3222,-76.33781,57,37.45,33.04,-2.59,9.68,1.82,0.24,0.28,0.48,2050.43,30.22,NA,NA,NA,NA,NA,NA,"5/10/2019",5,330.07,-5.5,30.8,1228.22,9.9,21.5,"no external sensor",4.700474595,1.028306289,4,21.87664817,"no harvest due to weed pressure; heavily invaded plot; Heavy weed pressure, site not harvested","Hilliard","WHT-PASVT","WHT-PASVT-4","PASVT-Hilliard","WHT-PASVT-Hilliard",22,2.270810144,0.734642173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",37,"flag","ROWVT","WHT",1,"right8, up2","37-ROWVT-WHT-V2-P1",4,"NC11363-25",2,13,1,113,35.69673,-80.62344,53.8,33.66,48.73,0.33,21.53,0.87,0.37,0.34,0.28,972.93,53.09,NA,56.7,57.4,NA,"Lloyd clay loam","Clay Loam","5/8/2019",220,351.29,-5,29.6,1079.74,8.5,21.6,"4 individual measures",3.540493573,0.267032098,4,7.542228023,"; Planted late, extreme water stress (too much water) early in season with delayed emergence.  No disease pressure late in season","NC11363-25","WHT-ROWVT","WHT-ROWVT-1","ROWVT-NC11363-25","WHT-ROWVT-NC11363-25",43,2.398786515,0.637771573,8,88.8,99.705,84800,24320,436.8,5.68,4.76,0.18,NA,6
"26",38,"flag","ROWVT","WHT",2,"right9, up2","38-ROWVT-WHT-V1-P1",4,"Hilliard",1,12,1,112,35.69675,-80.62342,56.8,34.09,44.27,-2.63,18.2,0.67,0.32,0.42,0.26,917.21,37.34,NA,57.2,55.6,NA,"Lloyd clay loam","Clay Loam","5/8/2019",220,351.29,-5,29.6,1079.74,8.5,21.6,"4 individual measures",3.368692676,0.228785099,4,6.791509963,"; Planted late, extreme water stress (too much water) early in season with delayed emergence.  No disease pressure late in season","Hilliard","WHT-ROWVT","WHT-ROWVT-1","ROWVT-Hilliard","WHT-ROWVT-Hilliard",28,2.554412929,0.76658348,8,88.8,99.705,84800,24320,436.8,5.68,4.76,0.18,NA,6
"27",39,"flag","ROWVT","WHT",3,"right6, up2","39-ROWVT-WHT-V3-P1",4,"NC14-22588",3,15,1,115,35.6967,-80.62341,62,33.99,44.42,-3.94,21.2,0.8,0.26,0.44,0.31,1791.37,44.72,NA,60.1,56.6,NA,"Lloyd clay loam","Clay Loam","5/8/2019",220,351.29,-5,29.6,1079.74,8.5,21.6,"4 individual measures",3.415516829,0.557482274,4,16.32204734,"; Planted late, extreme water stress (too much water) early in season with delayed emergence.  No disease pressure late in season","NC14-22588","WHT-ROWVT","WHT-ROWVT-1","ROWVT-NC14-22588","WHT-ROWVT-NC14-22588",31,2.375220698,0.691680125,8,88.8,99.705,84800,24320,436.8,5.68,4.76,0.18,NA,6
"28",40,"flag","ROWVT","WHT",4,"right7, up6","40-ROWVT-WHT-V3-P2",4,"NC14-22588",3,15,2,214,35.69662,-80.6238,46.5,34.91,43.49,-3.3,22.85,0.82,0.15,0.48,0.37,2989.34,56.82,NA,NA,NA,NA,"Lloyd clay loam","Clay Loam","5/8/2019",220,351.29,-5,29.6,1079.74,8.5,21.6,"4 individual measures",1.911019498,0.800004954,4,41.86273114,"plot had many empty spaces/gaps between plants; Planted late, extreme water stress (too much water) early in season with delayed emergence.  No disease pressure late in season","NC14-22588","WHT-ROWVT","WHT-ROWVT-2","ROWVT-NC14-22588","WHT-ROWVT-NC14-22588",22,2.363212479,0.764535756,8,88.8,99.705,84800,24320,436.8,5.68,4.76,0.18,NA,6
"29",41,"flag","ROWVT","WHT",5,"right6, up7","41-ROWVT-WHT-V2-P2",4,"NC11363-25",2,13,2,226,35.69657,-80.62389,49.3,36.1,42.76,-2.77,20.88,1.39,0.26,0.35,0.4,1932.3,53.43,NA,53.9,57.4,NA,"Lloyd clay loam","Clay Loam","5/8/2019",220,351.29,-5,29.6,1079.74,8.5,21.6,"4 individual measures",3.215497865,0.659264822,4,20.50272927,"; Planted late, extreme water stress (too much water) early in season with delayed emergence.  No disease pressure late in season","NC11363-25","WHT-ROWVT","WHT-ROWVT-2","ROWVT-NC11363-25","WHT-ROWVT-NC11363-25",40,2.491921201,0.675522535,8,88.8,99.705,84800,24320,436.8,5.68,4.76,0.18,NA,6
"30",42,"flag","ROWVT","WHT",6,"right9, up7","42-ROWVT-WHT-V1-P2",4,"Hilliard",1,12,2,229,35.69662,-80.62392,55.5,36.41,40.21,-3.45,20.1,1.01,0.24,0.39,0.37,1716.09,44.55,NA,55.4,55.5,NA,"Lloyd clay loam","Clay Loam","5/8/2019",220,351.29,-5,29.6,1079.74,8.5,21.6,"4 individual measures",3.052655679,0.605464474,4,19.83402445,"; Planted late, extreme water stress (too much water) early in season with delayed emergence.  No disease pressure late in season","Hilliard","WHT-ROWVT","WHT-ROWVT-2","ROWVT-Hilliard","WHT-ROWVT-Hilliard",28,2.647224073,0.794436255,8,88.8,99.705,84800,24320,436.8,5.68,4.76,0.18,NA,6
"31",43,"flag","ROWVT","WHT",7,"right1, up10","43-ROWVT-WHT-V1-P3",4,"Hilliard",1,12,3,320,35.6964,-80.62414,82.5,37.79,37.66,-3.91,22.18,1.19,0.26,0.35,0.39,1861.18,50.13,NA,67.9,57.1,NA,"Lloyd clay loam","Clay Loam","5/8/2019",220,351.29,-5,29.6,1079.74,8.5,21.6,"4 individual measures",3.280517288,0.600779804,4,18.31356921,"; Planted late, extreme water stress (too much water) early in season with delayed emergence.  No disease pressure late in season","Hilliard","WHT-ROWVT","WHT-ROWVT-3","ROWVT-Hilliard","WHT-ROWVT-Hilliard",33,2.455700266,0.70232946,8,88.8,99.705,84800,24320,436.8,5.68,4.76,0.18,NA,6
"32",44,"flag","ROWVT","WHT",8,"right6, up10","44-ROWVT-WHT-V3-P3",4,"NC14-22588",3,15,3,315,35.69648,-80.62418,77.5,39.37,35.98,-3.94,18.95,2.18,0.21,0.27,0.53,2333.41,48.77,NA,59.9,56.7,NA,"Lloyd clay loam","Clay Loam","5/8/2019",220,351.29,-5,29.6,1079.74,8.5,21.6,"4 individual measures",3.350929536,0.428240339,4,12.77974767,"; Planted late, extreme water stress (too much water) early in season with delayed emergence.  No disease pressure late in season","NC14-22588","WHT-ROWVT","WHT-ROWVT-3","ROWVT-NC14-22588","WHT-ROWVT-NC14-22588",32,2.6770194,0.772424523,8,88.8,99.705,84800,24320,436.8,5.68,4.76,0.18,NA,6
"33",45,"flag","ROWVT","WHT",9,"right7, up10","45-ROWVT-WHT-V2-P3",4,"NC11363-25",2,13,3,314,35.69649,-80.62418,68.5,39.27,34.61,-4.54,15.03,1.15,0.41,0.29,0.31,796.37,48.77,NA,55.7,57.3,NA,"Lloyd clay loam","Clay Loam","5/8/2019",220,351.29,-5,29.6,1079.74,8.5,21.6,"4 individual measures",2.950876337,0.389032102,4,13.18361252,"; Planted late, extreme water stress (too much water) early in season with delayed emergence.  No disease pressure late in season","NC11363-25","WHT-ROWVT","WHT-ROWVT-3","ROWVT-NC11363-25","WHT-ROWVT-NC11363-25",39,2.689878877,0.734225089,8,88.8,99.705,84800,24320,436.8,5.68,4.76,0.18,NA,6
"34",46,"flag","ROWVT","WHT",10,"right4, up13","46-ROWVT-WHT-V2-P4",4,"NC11363-25",2,13,4,404,35.69636,-80.62445,81.5,40.19,34.15,-4.63,17.53,2.42,0.17,0.27,0.55,2944.67,50.2,NA,74.1,57.3,NA,"Lloyd clay loam","Clay Loam","5/8/2019",220,351.29,-5,29.6,1079.74,8.5,21.6,"4 individual measures",4.608033039,0.421072441,4,9.137791276,"; Planted late, extreme water stress (too much water) early in season with delayed emergence.  No disease pressure late in season","NC11363-25","WHT-ROWVT","WHT-ROWVT-4","ROWVT-NC11363-25","WHT-ROWVT-NC11363-25",57,2.731162326,0.675520082,8,88.8,99.705,84800,24320,436.8,5.68,4.76,0.18,NA,6
"35",47,"flag","ROWVT","WHT",11,"right1, up14","47-ROWVT-WHT-V1-P4",4,"Hilliard",1,12,4,420,35.69628,-80.62453,87,40.68,32.59,-4.33,19.08,3.79,0.23,0.16,0.61,2338.59,42.24,NA,78,56.4,NA,"Lloyd clay loam","Clay Loam","5/8/2019",220,351.29,-5,29.6,1079.74,8.5,21.6,"4 individual measures",4.077059742,0.778526132,4,19.09528389,"; Planted late, extreme water stress (too much water) early in season with delayed emergence.  No disease pressure late in season","Hilliard","WHT-ROWVT","WHT-ROWVT-4","ROWVT-Hilliard","WHT-ROWVT-Hilliard",41,2.612109553,0.703395412,8,88.8,99.705,84800,24320,436.8,5.68,4.76,0.18,NA,6
"36",48,"flag","ROWVT","WHT",12,"right9, up15","48-ROWVT-WHT-V3-P4",4,"NC14-22588",3,15,4,429,35.69639,-80.62467,83.8,40.35,30.52,-5.26,20.1,1.05,0.39,0.32,0.29,652.11,53.51,NA,69.2,56.2,NA,"Lloyd clay loam","Clay Loam","5/8/2019",220,351.29,-5,29.6,1079.74,8.5,21.6,"4 individual measures",4.18626762,0.195531304,4,4.670778883,"; Planted late, extreme water stress (too much water) early in season with delayed emergence.  No disease pressure late in season","NC14-22588","WHT-ROWVT","WHT-ROWVT-4","ROWVT-NC14-22588","WHT-ROWVT-NC14-22588",35,2.485507208,0.699089699,8,88.8,99.705,84800,24320,436.8,5.68,4.76,0.18,NA,6
"37",49,"flag","UNIVT","WHT",1,"right6, up2","49-UNIVT-WHT-V3-P1",5,"NC14-22588",3,15,1,115,35.1388,-80.37552,77,36.99,36.97,-2.86,19.78,2.46,0.12,0.33,0.55,3411.37,56.89,NA,121.6,57.6,NA,"Badin channery silt loam","Silt Loam","5/6/2019",161,299.6,-3.3,30.7,1148.29,9.8,22.5,"no external sensor",8.755398812,1.24010002,4,14.16383247,"; Fusarium Head Scab infection late in season","NC14-22588","WHT-UNIVT","WHT-UNIVT-1","UNIVT-NC14-22588","WHT-UNIVT-NC14-22588",49,2.88886565,0.742291634,22,711.6,301.07,378400,18726.4,51.36,28.92,3.36,0.97,NA,6.9
