"","QueryID","n","mean.Perc.Ident","sd.Perc.Ident","uniq.Subject","uniq.Subject.Type"
"13","ASV1011",4,90.67275,0.647221432999037,"Mycosphaerella_ellipsoidea|AY725545|SH2337128.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_ellipsoidea----Septoria_glycinicola|KF251430|SH1975043.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria;s__Septoria_glycinicola----Mycosphaerellaceae_sp|AY303969|SH1577524.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unidentified;s__Mycosphaerellaceae_sp----Septoria_epilobii|KF251412|SH1558100.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria;s__Septoria_epilobii","Fungi"
"14","ASV1012",1,97.738,NA,"Colletotrichum_navitas|JQ005769|SH1543742.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_navitas","Fungi"
"15","ASV1013",3,95.868,0,"AY129726.1----AY129727.1----AY129728.1","Plant"
"16","ASV1014",1,98.936,NA,"Mycosphaerella_sp|KX908312|SH1521456.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_sp","Fungi"
"17","ASV1017",1,98.113,NA,"Fungi_sp|FN428908|SH1522792.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","Fungi"
"18","ASV1018",1,95.261,NA,"Myrmecridium_schulzeri|KU574706|SH1539592.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales;f__Myrmecridiaceae;g__Myrmecridium;s__Myrmecridium_schulzeri","Fungi"
"19","ASV1019",2,98.582,0,"Saitozyma_sp|JX317879|SH1565601.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_sp----Saitozyma_sp|HQ832800|SH1565608.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_sp","Fungi"
"20","ASV102",1,98.5,NA,"Ascomycota_sp|KM434271|SH1525104.08FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp","Fungi"
"21","ASV1020",1,99.454,NA,"Zasmidium_angulare|JQ622088|SH1922877.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Zasmidium;s__Zasmidium_angulare","Fungi"
"22","ASV1021",1,98.298,NA,"Peniophora_nuda|KT823791|SH1646404.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__Peniophora_nuda","Fungi"
"23","ASV1022",1,99.359,NA,"Ramularia_nyssicola|HQ162266|SH1577457.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_nyssicola","Fungi"
"24","ASV1023",1,77.346,NA,"AM404348.1","Plant"
"25","ASV1025",1,100,NA,"Perusta_inaequalis|AY843116|SH1515062.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Perusta;s__Perusta_inaequalis","Fungi"
"26","ASV1026",1,98.122,NA,"Taphrina_carpini|AY239215|SH1519934.08FU|refs|k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_carpini","Fungi"
"27","ASV1027",1,99.074,NA,"Taphrina_mirabilis|AF492088|SH1519935.08FU|reps|k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_mirabilis","Fungi"
"28","ASV1028",1,94.262,NA,"Pestalotiopsis_jesteri|AF377282|SH1563690.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Pestalotiopsis;s__Pestalotiopsis_jesteri","Fungi"
"29","ASV1029",1,95.513,NA,"Tremellales_sp|KT318490|SH1576896.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__Tremellales_sp","Fungi"
"30","ASV1030",1,100,NA,"Pseudeurotiaceae_sp|JF495199|SH1647619.08FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__unidentified;s__Pseudeurotiaceae_sp","Fungi"
"31","ASV1032",6,90.1116666666667,0.496108724642764,"Pseudocercospora_lonicericola|GU269736|SH2337137.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Pseudocercospora;s__Pseudocercospora_lonicericola----Pseudocercospora_stephanandrae|GU269814|SH2337136.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Pseudocercospora;s__Pseudocercospora_stephanandrae----Mycosphaerella_ellipsoidea|AY725545|SH2337128.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_ellipsoidea----Septoria_glycinicola|KF251430|SH1975043.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria;s__Septoria_glycinicola----Mycosphaerellaceae_sp|AY303969|SH1577524.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unidentified;s__Mycosphaerellaceae_sp----Septoria_epilobii|KF251412|SH1558100.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria;s__Septoria_epilobii","Fungi"
"32","ASV1033",1,100,NA,"Sampaiozyma_ingeniosa|AF444534|SH2108419.08FU|refs|k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryomycetes_ord_Incertae_sedis;f__Chrysozymaceae;g__Sampaiozyma;s__Sampaiozyma_ingeniosa","Fungi"
"33","ASV1034",1,92.727,NA,"Trichomeriaceae_sp|KX348466|SH1597936.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__unidentified;s__Trichomeriaceae_sp","Fungi"
"34","ASV1035",1,97.786,NA,"Ustilaginaceae_sp|AM160638|SH1509863.08FU|reps|k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__unidentified;s__Ustilaginaceae_sp","Fungi"
"35","ASV1036",1,100,NA,"Periconia_homothallica|KY364630|SH1573195.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia;s__Periconia_homothallica","Fungi"
"36","ASV1037",1,100,NA,"Buckleyzyma_aurantiaca|AF444538|SH1613467.08FU|refs|k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Buckleyzymaceae;g__Buckleyzyma;s__Buckleyzyma_aurantiaca","Fungi"
"37","ASV1038",1,96.279,NA,"Nigrospora_oryzae|DQ219433|SH1549606.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora;s__Nigrospora_oryzae","Fungi"
"38","ASV1039",1,95.361,NA,"Pleosporales_sp|HM999913|SH1546733.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","Fungi"
"39","ASV104",1,95.025,NA,"Ascomycota_sp|MH290364|SH1547058.08FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp","Fungi"
"40","ASV1040",1,96.335,NA,"Ramularia_pratensis|KC867794|SH1577475.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_pratensis","Fungi"
"41","ASV1042",1,97.235,NA,"Setophoma_chromolaenae|KM246191|SH1546729.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophoma;s__Setophoma_chromolaenae","Fungi"
"42","ASV1044",1,100,NA,"Fungi_sp|MH019936|SH1523077.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","Fungi"
"43","ASV1045",2,99.485,0,"Nectriaceae_sp|KX515816|SH1648581.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__unidentified;s__Nectriaceae_sp----Stachybotryaceae_sp|KX515901|SH1561004.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__unidentified;s__Stachybotryaceae_sp","Fungi"
"44","ASV1046",1,95.714,NA,"Teratosphaeriaceae_sp|KT581880|SH1521446.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unidentified;s__Teratosphaeriaceae_sp","Fungi"
"45","ASV1049",1,93.793,NA,"Setophoma_sp|JQ809679|SH1546727.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophoma;s__Setophoma_sp","Fungi"
"46","ASV105",1,97.235,NA,"Tilletiopsis_washingtonensis|AB025686|SH1541583.08FU|refs|k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Entylomatales;f__Entylomatales_fam_Incertae_sedis;g__Tilletiopsis;s__Tilletiopsis_washingtonensis","Fungi"
"47","ASV1050",1,92.419,NA,"Trichomerium_dioscoreae|KP004468|SH1597914.08FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Trichomerium;s__Trichomerium_dioscoreae","Fungi"
"48","ASV1051",1,99.32,NA,"Setophaeosphaeria_badalingensis|HQ649995|SH1614499.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophaeosphaeria;s__Setophaeosphaeria_badalingensis","Fungi"
"49","ASV1052",1,91.284,NA,"Setomelanomma_holmii|KX844983|SH1616189.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setomelanomma;s__Setomelanomma_holmii","Fungi"
"50","ASV1053",2,95.577,0.661851947190613,"MF780725.1----MF780726.1","Plant"
"51","ASV1054",1,99.257,NA,"Ochroconis_cordanae|KF156022|SH1551238.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Ochroconis;s__Ochroconis_cordanae","Fungi"
"52","ASV1055",1,93.243,NA,"Didymocyrtis_cladoniicola|KX516501|SH1646329.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Didymocyrtis;s__Didymocyrtis_cladoniicola","Fungi"
"53","ASV1056",1,97.222,NA,"Stagonospora_sp|EU009968|SH1646334.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Stagonospora;s__Stagonospora_sp","Fungi"
"54","ASV1057",1,97.942,NA,"Dothideomycetes_sp|KX096684|SH1643344.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__Dothideomycetes_sp","Fungi"
"55","ASV1058",1,96.815,NA,"Psathyrella_stercoraria|DQ389669|SH1508509.08FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella;s__Psathyrella_stercoraria","Fungi"
"56","ASV1059",1,98.529,NA,"Stemphylium_sp|DQ491516|SH2179673.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium;s__Stemphylium_sp","Fungi"
"57","ASV106",1,97.633,NA,"Hannaella_oryzae|JQ754042|SH1522796.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_oryzae","Fungi"
"58","ASV1060",1,100,NA,"Peniophora_laxitexta|KR093906|SH1646405.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__Peniophora_laxitexta","Fungi"
"59","ASV1061",1,100,NA,"Stereum_hirsutum|KR135365|SH1576004.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Stereaceae;g__Stereum;s__Stereum_hirsutum","Fungi"
"60","ASV1063",1,95.708,NA,"Pseudorobillarda_sp|KF800655|SH1558908.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pseudorobillarda;s__Pseudorobillarda_sp","Fungi"
"61","ASV1064",1,100,NA,"Diaporthe_longicolla|KJ590728|SH1704085.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Diaporthe;s__Diaporthe_longicolla","Fungi"
"62","ASV1065",1,99.333,NA,"Hannaella_coprosmae|AF314985|SH1522800.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_coprosmae","Fungi"
"63","ASV1066",1,100,NA,"Agaricomycetes_sp|MH062983|SH1573566.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__Agaricomycetes_sp","Fungi"
"64","ASV1067",1,99.034,NA,"Entyloma_polysporum|AY081046|SH1516878.08FU|reps|k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Entylomatales;f__Entylomataceae;g__Entyloma;s__Entyloma_polysporum","Fungi"
"65","ASV107",1,97.297,NA,"Dissoconium_aciculare|AF173308|SH1718969.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Dissoconium;s__Dissoconium_aciculare","Fungi"
"66","ASV1070",1,94.094,NA,"AY346111.1","Plant"
"67","ASV1071",1,100,NA,"Fungi_sp|MH019936|SH1523077.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","Fungi"
"68","ASV1072",1,90.909,NA,"Pseudoteratosphaeria_ohnowa|AF309604|SH1571460.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Pseudoteratosphaeria;s__Pseudoteratosphaeria_ohnowa","Fungi"
"69","ASV1073",3,96.364,0,"AY129726.1----AY129727.1----AY129728.1","Plant"
"70","ASV1074",1,95.37,NA,"Zygophiala_inaequalis|KF646709|SH1719086.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Schizothyriaceae;g__Zygophiala;s__Zygophiala_inaequalis","Fungi"
"71","ASV1075",1,99.024,NA,"Teratosphaeriaceae_sp|KT833163|SH1570277.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unidentified;s__Teratosphaeriaceae_sp","Fungi"
"72","ASV1076",1,98.239,NA,"Chaetothyriales_sp|AJ877178|SH1564886.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified;s__Chaetothyriales_sp","Fungi"
"73","ASV1077",1,94.737,NA,"AM404348.1","Plant"
"74","ASV1079",1,92.035,NA,"Didymocyrtis_cladoniicola|KX516501|SH1646329.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Didymocyrtis;s__Didymocyrtis_cladoniicola","Fungi"
"75","ASV108",1,96.97,NA,"Phaeosphaeriaceae_sp|KX263845|SH1646332.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unidentified;s__Phaeosphaeriaceae_sp","Fungi"
"76","ASV1083",1,100,NA,"Neocatenulostroma_sp|KX908448|SH1571461.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Neocatenulostroma;s__Neocatenulostroma_sp","Fungi"
"77","ASV1084",1,90.785,NA,"Trichomerium_foliicola|JX313651|SH1597909.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Trichomerium;s__Trichomerium_foliicola","Fungi"
"78","ASV1086",1,86.294,NA,"Hypocreales_sp|KX499255|SH1563661.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified;s__Hypocreales_sp","Fungi"
"79","ASV1088",1,99.111,NA,"Mrakiella_aquatica|AF410469|SH1556068.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiales_fam_Incertae_sedis;g__Mrakiella;s__Mrakiella_aquatica","Fungi"
"80","ASV1089",1,89.401,NA,"Mycosphaerella_flageoletiana|JF449741|SH1645412.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_flageoletiana","Fungi"
"81","ASV109",1,97.987,NA,"Hannaella_oryzae|AF314986|SH1522793.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_oryzae","Fungi"
"82","ASV1091",1,90.865,NA,"Pleosporales_sp|GQ153252|SH1614486.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","Fungi"
"83","ASV1092",1,99.387,NA,"Filobasidium_wieringae|AF444373|SH1631613.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae","Fungi"
"84","ASV1093",1,98.958,NA,"Filobasidium_floriforme|AF190007|SH2525150.08FU|refs_singleton|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_floriforme","Fungi"
"85","ASV1094",1,99.535,NA,"Taphrina_confusa|AF492090|SH1519962.08FU|reps|k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_confusa","Fungi"
"86","ASV1095",1,96.791,NA,"Apenidiella_strumelloidea|EU019277|SH1683840.08FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Apenidiella;s__Apenidiella_strumelloidea","Fungi"
"87","ASV1096",1,96.786,NA,"Trichomeriaceae_sp|KP174851|SH1597911.08FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__unidentified;s__Trichomeriaceae_sp","Fungi"
"88","ASV1097",1,95.858,NA,"Papiliotrema_fuscus|KY962980|SH1650813.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_fuscus","Fungi"
"89","ASV1098",1,97.009,NA,"Cyphellophora_vermispora|GU225947|SH1826275.08FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Cyphellophoraceae;g__Cyphellophora;s__Cyphellophora_vermispora","Fungi"
"90","ASV11",3,100,0,"AY129726.1----AY129727.1----AY129728.1","Plant"
"91","ASV110",1,91.444,NA,"Mycosphaerellaceae_sp|DQ302976|SH1591993.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unidentified;s__Mycosphaerellaceae_sp","Fungi"
"92","ASV1105",5,99.435,0,"Stagonosporopsis_oculi-hominis|GU237901|SH1920843.08FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_oculi-hominis----Stagonosporopsis_actaeae|GU237734|SH1920769.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_actaeae----Stagonosporopsis_valerianellae|GU237832|SH1920754.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_valerianellae----Stagonosporopsis_dennisii|GU237899|SH1920712.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_dennisii----Stagonosporopsis_tanaceti|JQ897481|SH1920700.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_tanaceti","Fungi"
"93","ASV1106",1,100,NA,"Mycosphaerella_ellipsoidea|AY725545|SH2337128.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_ellipsoidea","Fungi"
"94","ASV1108",1,99.429,NA,"Pyrenochaetopsis_leptospora|JF740262|SH1525086.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis;s__Pyrenochaetopsis_leptospora","Fungi"
"95","ASV1109",1,89.498,NA,"Bensingtonia_sp|AF444671|SH1631898.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Kondoaceae;g__Bensingtonia;s__Bensingtonia_sp","Fungi"
"96","ASV111",1,100,NA,"Pyricularia_sp|JQ692165|SH1520863.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Pyricularia;s__Pyricularia_sp","Fungi"
"97","ASV1110",1,100,NA,"Tilletia_sp|EU009972|SH1515012.08FU|reps|k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Tilletiales;f__Tilletiaceae;g__Tilletia;s__Tilletia_sp","Fungi"
"98","ASV1111",1,84.926,NA,"Ascomycota_sp|AY969332|SH1647475.08FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp","Fungi"
"99","ASV1113",1,99.479,NA,"Biappendiculispora_japonica|LC001728|SH1556704.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Biappendiculispora;s__Biappendiculispora_japonica","Fungi"
"100","ASV1114",1,94.301,NA,"Ramularia_pratensis|KC867794|SH1577475.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_pratensis","Fungi"
"101","ASV1118",1,98.19,NA,"Acremonium_tubakii|KP131532|SH1594507.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_tubakii","Fungi"
"102","ASV1119",1,100,NA,"Beauveria_pseudobassiana|HQ880792|SH1886966.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Beauveria;s__Beauveria_pseudobassiana","Fungi"
"103","ASV112",1,100,NA,"Dioszegia_hungarica|AF444379|SH1609774.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_hungarica","Fungi"
"104","ASV1120",1,97.11,NA,"Dictyosporiaceae_sp|FJ571431|SH1514400.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dictyosporiaceae;g__unidentified;s__Dictyosporiaceae_sp","Fungi"
